time,datetime,Blue,Green,Red,NIR,visnirAlbedo,std3,std5,std9,std15,satellite,Albedo_theta<70d,Year,MonthOfYear,DayOfMonth,HourOfDay(UTC),CloudCover,Station
1590678844636,2020-05-28 15:14:04.636,0.8993350267410278,0.8633704781532288,0.8732075095176697,0.7731316089630127,0.6366102254986763,0.0274910318846909,0.0276322988631263,0.0302124731922721,0.0331886911596281,Sentinel2,0.682,2020.0,5.0,28.0,15.0,0.1,KAN_L
1590851042024,2020-05-30 15:04:02.024,0.8540946841239929,0.8128561973571777,0.812634289264679,0.7046760320663452,0.6206846486985683,0.0312752842024455,0.0311326156357024,0.031081022117144,0.0361655314420319,Sentinel2,0.645,2020.0,5.0,30.0,15.0,0.01,KAN_L
1591283046893,2020-06-04 15:04:06.893,0.7324774265289307,0.6988018751144409,0.6710458993911743,0.4593481123447418,0.4593004166930916,0.0395513975513423,0.0443882978421719,0.0498312379003357,0.0476509564795507,Sentinel2,0.523,2020.0,6.0,4.0,15.0,0.11,KAN_L
1591972949171,2020-06-12 14:42:29.171,0.8250074982643127,0.7454224824905396,0.7155849933624268,0.5110949873924255,0.541737444138527,0.0228903918901052,0.0228703595782466,0.0253859050867987,0.0248445235830643,Landsat,0.528,2020.0,6.0,12.0,15.0,0.0,KAN_L
1591974840892,2020-06-12 15:14:00.892,0.761769711971283,0.7173343896865845,0.7023545503616333,0.5375333428382874,0.5155546694993975,0.0292086997293513,0.0317742999827343,0.03457578967102,0.0357051523121252,Sentinel2,0.528,2020.0,6.0,12.0,15.0,0.0,KAN_L
1592234637686,2020-06-15 15:23:57.686,0.9165849685668944,0.8830679059028625,0.9002125859260559,0.8459886312484741,0.6948486573338513,0.0363857052009293,0.0423459210862487,0.0397493995134784,0.0366275011485417,Sentinel2,0.782,2020.0,6.0,15.0,15.0,0.18,KAN_L
1592406844562,2020-06-17 15:14:04.562,0.9881883263587952,0.9607985019683838,0.987790822982788,0.9371468424797058,0.7224222033977505,0.0150019462992125,0.0161203948056179,0.0218520990263055,0.0238780558238832,Sentinel2,0.772,2020.0,6.0,17.0,15.0,0.22,KAN_L
1592578123936,2020-06-19 14:48:43.936,0.8008900284767151,0.7430024743080139,0.7309575080871582,0.5378249883651733,0.4960347734034065,0.0149398459829096,0.0170307384210595,0.0212656847552838,0.0211739879811463,Landsat,0.55,2020.0,6.0,19.0,15.0,0.04,KAN_L
1592579043131,2020-06-19 15:04:03.131,0.7667602896690369,0.7396792769432068,0.7417324781417847,0.5785371661186218,0.4776684462428091,0.026193366295122,0.0310432014010563,0.0323935190166471,0.0312008468463923,Sentinel2,0.55,2020.0,6.0,19.0,15.0,0.04,KAN_L
1592666641113,2020-06-20 15:24:01.113,0.6996049284934998,0.6695734858512878,0.6566287875175476,0.4669929146766662,0.4326658350229262,0.0359005850537689,0.044315225858136,0.0506221631853232,0.0470778981841149,Sentinel2,0.522,2020.0,6.0,20.0,15.0,0.03,KAN_L
1593011046209,2020-06-24 15:04:06.209,0.637765645980835,0.6063511967658997,0.5747528076171875,0.3487304747104645,0.3856903141111136,0.039299056618884,0.0432460235370762,0.0497898880251667,0.0463712906944988,Sentinel2,0.477,2020.0,6.0,24.0,15.0,0.34,KAN_L
1593098637753,2020-06-25 15:23:57.753,0.6833314299583435,0.6435220837593079,0.6049855947494507,0.3827844858169555,0.4389576020658017,0.0371314253088108,0.0431761736466997,0.0472798427746108,0.0444987417681741,Sentinel2,0.485,2020.0,6.0,25.0,15.0,0.2,KAN_L
